メーカー,型番
"三菱電機","MSZ-Z-RS"
"三菱電機","MSZ-ZD-16"
"三菱電機","MSZ-ZD-16S"
"三菱電機","MSZ-ZD-17"
"三菱電機","MSZ-ZD-17S"
"三菱電機","MSZ-ZD-18"
"三菱電機","MSZ-ZD-18S"
"三菱電機","MSZ-ZD-19"
"三菱電機","MSZ-ZD-19S"
"三菱電機","MSZ-ZD-20"
"三菱電機","MSZ-ZD-20S"
"三菱電機","MSZ-ZD-4"
"三菱電機","MSZ-ZD-4S"
"三菱電機","MSZ-ZD-5"
"三菱電機","MSZ-ZD-5S"
"三菱電機","MSZ-ZR-P"
"三菱電機","MSZ-ZR-PS"
"三菱電機","MSZ-ZS-P"
"三菱電機","MSZ-ZS-PS"
"三菱電機","MSZ-ZS-T"
"三菱電機","MSZ-ZS-TS"
"三菱電機","MTZ--17AS"
"三菱電機","MTZ--2AS"
"三菱電機","MTZ--5AS"
"三菱電機","PC-J-GA9G"
"三菱電機","PC-J-GA9G2"
"三菱電機","PC-J-GA9G9"
"三菱電機","PC-J-SGA9"
"三菱電機","PC-J-SGA9G9"
"三菱電機","PC-P-GA"
"三菱電機","PC-P-GAH"
"三菱電機","PC-P-HA2"
"三菱電機","PC-RP-HA11"
"三菱電機","PC-RP-HA5"
"三菱電機","PC-RP-KA5"
"三菱電機","PC-RP-KAL5"
"三菱電機","PCA-J-GAH9"
"三菱電機","PCA-J-SGAH9"
"三菱電機","PCH-J-GA9G9"
"三菱電機","PCH-J-GAH9G9"
"三菱電機","PCH-J-SGA9G9"
"三菱電機","PCH-J-SGAH9G9"
"三菱電機","PDFY-J-M-A1"
"三菱電機","PDFY-P-GMG3"
"三菱電機","PDFY-P-GMG4"
"三菱電機","PDFY-P-GMG5"
"三菱電機","PDFY-P-M-G"
"三菱電機","PDFY-P-MG"
"三菱電機","PEFY-J-M-B1"
"三菱電機","PEFY-P-M-G"
"三菱電機","PEFY-P-MG"
"三菱電機","PEFY-P-MG3"
"三菱電機","PEFY-P-MG3-F"
"三菱電機","PEFY-P-MG3-J"
"三菱電機","PEFY-P-MG4"
"三菱電機","PEFY-P-MG4-F"
"三菱電機","PEFY-P-MG4-J"
"三菱電機","PEFY-P-MG5"
"三菱電機","PEFY-P-MG5-F"
"三菱電機","PEFY-P-MG5-J"
"三菱電機","PEFY-P-SM-G"
"三菱電機","PEFY-P-SMG"
"三菱電機","PEFY-P-SMG3"
"三菱電機","PEFY-P-SMG4"
"三菱電機","PEFY-P-SMG5"
"三菱電機","PFFY-J-DM-A"
"三菱電機","PFFY-J-DM-A1"
"三菱電機","PFFY-J-LEM-A1"
"三菱電機","PFFY-J-LRM-A1"
"三菱電機","PFFY-J-RM-A1"
"三菱電機","PFFY-P-DM-G"
"三菱電機","PFFY-P-DMG"
"三菱電機","PFFY-P-DMG3"
"三菱電機","PFFY-P-DMG4"
"三菱電機","PFFY-P-DMG5"
"三菱電機","PFFY-P-LEM-G"
"三菱電機","PFFY-P-LEMG"
"三菱電機","PFFY-P-LEMG3"
"三菱電機","PFFY-P-LEMG4"
"三菱電機","PFFY-P-LEMG5"
"三菱電機","PFFY-P-LRM-G"
"三菱電機","PFFY-P-LRMG"
"三菱電機","PFFY-P-LRMG3"
"三菱電機","PFFY-P-LRMG4"
"三菱電機","PFFY-P-LRMG5"
"三菱電機","PFFY-P-RM-G"
"三菱電機","PFFY-P-RMG"
"三菱電機","PFFY-P-RMG3"
"三菱電機","PFFY-P-RMG3-F"
"三菱電機","PFFY-P-RMG4"
"三菱電機","PFFY-P-RMG4-F"
"三菱電機","PFFY-P-RMG5"
"三菱電機","PFFY-P-RMG5-F"
"三菱電機","PK-P-FA"
"三菱電機","PK-P-GA"
"三菱電機","PK-RP-KA12"
"三菱電機","PKA-J-FA9"
"三菱電機","PL-ERP-BA5"
"三菱電機","PL-ERP-EA3"
"三菱電機","PL-RP-BA5"
"三菱電機","PL-RP-JA10"
"三菱電機","PL-RP-JA5"
"三菱電機","PL-ZRP-BA5"
"三菱電機","PL-ZRP-EA3"
"三菱電機","PLA-J-0KA"
"三菱電機","PLA-J-2KA"
"三菱電機","PLA-J-5KA"
"三菱電機","PLA-J-AA"
"三菱電機","PLA-J-JA"
"三菱電機","PLA-J-JA7"
"三菱電機","PLA-J-JA8"
"三菱電機","PLA-J-JA9"
"三菱電機","PLA-J-KA"
"三菱電機","PLA-J-KA8"
"三菱電機","PLA-J-SJA"
"三菱電機","PLFY-J-LMD-B1"
"三菱電機","PLFY-P-LM-G"
"三菱電機","PLFY-P-LMG"
"三菱電機","PLFY-P-LMG3"
"三菱電機","PLFY-P-LMG4"
"三菱電機","PLFY-P-LMG5"
"三菱電機","PLZ-P-AA"
"三菱電機","PLZ-P-AA2"
"三菱電機","PM-HRP-FA10"
"三菱電機","PM-HRP-FA5"
"三菱電機","PM-P-EA"
"三菱電機","PM-RP-FA10"
"三菱電機","PM-RP-FA5"
"三菱電機","PS-P-GA"
"三菱電機","PS-P-GAH"
"三菱電機","PS-RP-KA6"
"三菱電機","PC-J-GA9G"
"三菱電機","PC-J-GA9G2"
"三菱電機","PC-J-GA9G9"
"三菱電機","PC-J-SGA9"
"三菱電機","PC-J-SGA9G9"
"三菱電機","PC-P-GA"
"三菱電機","PC-P-GAH"
"三菱電機","PC-P-HA2"
"三菱電機","PC-RP-HA11"
"三菱電機","PC-RP-HA5"
"三菱電機","PC-RP-KA5"
"三菱電機","PC-RP-KAL5"
"三菱電機","PCA-J-GAH9"
"三菱電機","PCA-J-SGAH9"
"三菱電機","PCH-J-GA9G9"
"三菱電機","PCH-J-GAH9G9"
"三菱電機","PCH-J-SGA9G9"
"三菱電機","PCH-J-SGAH9G9"
"三菱電機","PCA-J-GAH9"
"三菱電機","PCA-J-SGAH9"
"三菱電機","PCH-J-GA9G9"
"三菱電機","PCH-J-GAH9G9"
"三菱電機","PCH-J-SGA9G9"
"三菱電機","PCH-J-SGAH9G9"
"三菱電機","PDFY-J-M-A1"
"三菱電機","PDFY-P-GMG3"
"三菱電機","PDFY-P-GMG4"
"三菱電機","PDFY-P-GMG5"
"三菱電機","PDFY-P-M-G"
"三菱電機","PDFY-P-MG"
"三菱電機","PEFY-J-M-B1"
"三菱電機","PEFY-P-M-G"
"三菱電機","PEFY-P-MG"
"三菱電機","PEFY-P-MG3"
"三菱電機","PEFY-P-MG3-F"
"三菱電機","PEFY-P-MG3-J"
"三菱電機","PEFY-P-MG4"
"三菱電機","PEFY-P-MG4-F"
"三菱電機","PEFY-P-MG4-J"
"三菱電機","PEFY-P-MG5"
"三菱電機","PEFY-P-MG5-F"
"三菱電機","PEFY-P-MG5-J"
"三菱電機","PEFY-P-SM-G"
"三菱電機","PEFY-P-SMG"
"三菱電機","PEFY-P-SMG3"
"三菱電機","PEFY-P-SMG4"
"三菱電機","PEFY-P-SMG5"
"三菱電機","PFFY-J-DM-A"
"三菱電機","PFFY-J-DM-A1"
"三菱電機","PFFY-J-LEM-A1"
"三菱電機","PFFY-J-LRM-A1"
"三菱電機","PFFY-J-RM-A1"
"三菱電機","PFFY-P-DM-G"
"三菱電機","PFFY-P-DMG"
"三菱電機","PFFY-P-DMG3"
"三菱電機","PFFY-P-DMG4"
"三菱電機","PFFY-P-DMG5"
"三菱電機","PFFY-P-LEM-G"
"三菱電機","PFFY-P-LEMG"
"三菱電機","PFFY-P-LEMG3"
"三菱電機","PFFY-P-LEMG4"
"三菱電機","PFFY-P-LEMG5"
"三菱電機","PFFY-P-LRM-G"
"三菱電機","PFFY-P-LRMG"
"三菱電機","PFFY-P-LRMG3"
"三菱電機","PFFY-P-LRMG4"
"三菱電機","PFFY-P-LRMG5"
"三菱電機","PFFY-P-RM-G"
"三菱電機","PFFY-P-RMG"
"三菱電機","PFFY-P-RMG3"
"三菱電機","PFFY-P-RMG3-F"
"三菱電機","PFFY-P-RMG4"
"三菱電機","PFFY-P-RMG4-F"
"三菱電機","PFFY-P-RMG5"
"三菱電機","PFFY-P-RMG5-F"
"三菱電機","PK-P-FA"
"三菱電機","PK-P-GA"
"三菱電機","PK-RP-KA12"
"三菱電機","PKA-J-FA9"
"三菱電機","PKA-J-FA9"
"三菱電機","PL-ERP-BA5"
"三菱電機","PL-ERP-EA3"
"三菱電機","PL-RP-BA5"
"三菱電機","PL-RP-JA10"
"三菱電機","PL-RP-JA5"
"三菱電機","PL-ZRP-BA5"
"三菱電機","PL-ZRP-EA3"
"三菱電機","PLA-J-0KA"
"三菱電機","PLA-J-2KA"
"三菱電機","PLA-J-5KA"
"三菱電機","PLA-J-AA"
"三菱電機","PLA-J-JA"
"三菱電機","PLA-J-JA7"
"三菱電機","PLA-J-JA8"
"三菱電機","PLA-J-JA9"
"三菱電機","PLA-J-KA"
"三菱電機","PLA-J-KA8"
"三菱電機","PLA-J-SJA"
"三菱電機","PLFY-J-LMD-B1"
"三菱電機","PLFY-P-LM-G"
"三菱電機","PLFY-P-LMG"
"三菱電機","PLFY-P-LMG3"
"三菱電機","PLFY-P-LMG4"
"三菱電機","PLFY-P-LMG5"
"三菱電機","PLZ-P-AA"
"三菱電機","PLZ-P-AA2"
"三菱電機","PLA-J-0KA"
"三菱電機","PLA-J-2KA"
"三菱電機","PLA-J-5KA"
"三菱電機","PLA-J-AA"
"三菱電機","PLA-J-JA"
"三菱電機","PLA-J-JA7"
"三菱電機","PLA-J-JA8"
"三菱電機","PLA-J-JA9"
"三菱電機","PLA-J-KA"
"三菱電機","PLA-J-KA8"
"三菱電機","PLA-J-SJA"
"三菱電機","PLFY-J-LMD-B1"
"三菱電機","PLFY-P-LM-G"
"三菱電機","PLFY-P-LMG"
"三菱電機","PLFY-P-LMG3"
"三菱電機","PLFY-P-LMG4"
"三菱電機","PLFY-P-LMG5"
"三菱電機","PLZ-P-AA"
"三菱電機","PLZ-P-AA2"
"三菱電機","PM-HRP-FA10"
"三菱電機","PM-HRP-FA5"
"三菱電機","PM-P-EA"
"三菱電機","PM-RP-FA10"
"三菱電機","PM-RP-FA5"
"三菱電機","PS-P-GA"
"三菱電機","PS-P-GAH"
"三菱電機","PS-RP-KA6"
"三菱電機","VW--E2"
"三菱電機","VW--RE"
"三菱電機","VW--WE2"
"三菱電機","VW--WRE"
"三菱電機","VW-WRE"
"三菱電機","VW--E2"
"三菱電機","VW--RE"
"三菱電機","VW--WE2"
"三菱電機","VW--WRE"
"三菱電機","VW-WRE"
"日立","RAF--A"
"日立","RAF--A2"
"日立","RAF--Z"
"日立","RAF--Z2"
"日立","RAF-D-C"
"日立","RAF-D-C2"
"日立","RAF-D-F"
"日立","RAF-D-F2"
"日立","RAJ--D2"
"日立","RAM-A-AS"
"日立","RAM-A-ASH"
"日立","RAM-A-CS"
"日立","RAM-A-CSH"
"日立","RAM-E-AS"
"日立","RAM-E-ASH"
"日立","RAM-E-CS"
"日立","RAM-E-CSH"
"日立","RAMD--CS"
"日立","RAMF--CS"
"日立","RAMJ--CS"
"日立","RAMP--AS"
"日立","RAMP--ASH"
"日立","RAMP--CS"
"日立","RAMP--CSH"
"日立","RAMP--DAS"
"日立","RAMP--DASH"
"日立","RAMP--DCS"
"日立","RAMP--DCSH"
"日立","RAMP--SAS"
"日立","RAMP--SCS"
"日立","RAMD--CS"
"日立","RAMF--CS"
"日立","RAMJ--CS"
"日立","RAMP--AS"
"日立","RAMP--ASH"
"日立","RAMP--CS"
"日立","RAMP--CSH"
"日立","RAMP--DAS"
"日立","RAMP--DASH"
"日立","RAMP--DCS"
"日立","RAMP--DCSH"
"日立","RAMP--SAS"
"日立","RAMP--SCS"
"日立","RAP--C2"
"日立","RAP--DC2"
"日立","RAP--DZ2"
"日立","RAP--SC2"
"日立","RAP--SZ2"
"日立","RAP--Z2"
"日立","RAP-K-J2"
"日立","RCI-AP-K4"
"日立","RCI-J-K1"
"日立","RCI-J-KT1"
"日立","RCI-J-KTJ1"
"日立","RCI-P-K"
"日立","RCI-P-KT"
"日立","RCI-P-KTJ"
"日立","RCID-AP-K"
"日立","RCID-AP-KT"
"日立","RCID-AP-KTJ"
"東芝","AIC-AP-0PH"
"東芝","AIC-AP-2H"
"東芝","AIC-AP-2HR"
"東芝","AIC-AP-2HRJ"
"東芝","AIC-AP-4H"
"東芝","AIC-AP-4HR"
"東芝","AIC-AP-4HRJ"
"東芝","AIC-AP-5PH"
"東芝","AIC-AP-8H"
"東芝","AIC-P-0PH"
"東芝","AIC-P-2H"
"東芝","AIC-P-2HR"
"東芝","AIC-P-2HRJ"
"東芝","AID-AP-1H"
"東芝","AID-AP-5BH"
"東芝","AID-AP-5H"
"東芝","AID-P-1H"
"東芝","AIF-AP-2H"
"東芝","AIF-AP-2H-1"
"東芝","AIF-AP-5H"
"東芝","AIF-AP-5H-1"
"東芝","AIK-AP-1H"
"東芝","AIK-AP-3H"
"東芝","AIK-AP-5H"
"東芝","AIK-AP-6H"
"東芝","AIL-AP-2H"
"東芝","AIL-AP-5H"
"東芝","AIU-AP-1H"
"東芝","AIU-AP-1HR"
"東芝","AIU-AP-1HRJ"
"東芝","AIU-AP-1WH"
"東芝","AIU-AP-1WHR"
"東芝","AIU-AP-1WHRJ"
"東芝","AIU-AP-2SH"
"東芝","AIU-AP-2SHR"
"東芝","AIU-AP-2SHRJ"
"東芝","AIU-AP-3WH"
"東芝","AIU-AP-3WHR"
"東芝","AIU-AP-3WHRJ"
"東芝","AIU-AP-5H"
"東芝","AIU-AP-5SH"
"東芝","AIU-AP-5WH"
"東芝","AIU-AP-7H"
"東芝","AIU-P-1H"
"東芝","AIU-P-1HR"
"東芝","AIU-P-1HRJ"
"東芝","AIU-P-1WH"
"東芝","AIU-P-1WHR"
"東芝","AIU-P-1WHRJ"
"東芝","AIU-RP-1H"
"東芝","HAS-M-2FR2"
"東芝","MCY-MAP-1H"
"東芝","MCY-MAP-1HN"
"東芝","MCY-MAP-1HNZ"
"東芝","MCY-MAP-1HNZG"
"東芝","MCY-MAP-1HZ"
"東芝","MCY-MAP-1HZG"
"東芝","MMY-MAP-5F"
"東芝","MMY-MAP-5FZ"
"東芝","MMY-MAP-5FZG"
"東芝","MMY-MAP-5H"
"東芝","MMY-MAP-5HR"
"東芝","MMY-MAP-5HRZ"
"東芝","MMY-MAP-5HRZG"
"東芝","MMY-MAP-5HZ"
"東芝","MMY-MAP-5HZG"
"東芝","MMY-MAP-6H"
"東芝","MMY-MAP-6HR"
"東芝","MMY-MAP-6HRZ"
"東芝","MMY-MAP-6HRZG"
"東芝","MMY-MAP-6HZ"
"東芝","MMY-MAP-6HZG"
"東芝","ROA-AP-7H"
"東芝","ROA-AP-7HJ"
"東芝","VNC-0MS"
"シャープ","AC--4FD"
"シャープ","AC--4FD2"
"シャープ","AC--4FE"
"シャープ","AC--4FE2"
"シャープ","AC--4FX"
"シャープ","AC--4FX2"
"シャープ","AC--5FD"
"シャープ","AC--5FD2"
"シャープ","AC--5FE"
"シャープ","AC--5FE2"
"シャープ","AC--5FX"
"シャープ","AC--5FX2"
"シャープ","AC--6FE"
"シャープ","AC--6FE2"
"シャープ","AC--6FT"
"シャープ","AC--6FT2"
"シャープ","AC--6FX"
"シャープ","AC--6FX2"
"シャープ","AC--7FE"
"シャープ","AC--7FE2"
"シャープ","AC--7FT"
"シャープ","AC--7FT2"
"シャープ","AC--7FX"
"シャープ","AC--7FX2"
"シャープ","AC--7HE"
"シャープ","AC--7HE2"
"シャープ","AC--7HX"
"シャープ","AC--7HX2"
"シャープ","AC--7TN"
"シャープ","AC--7TN2"
"シャープ","AC--8FE"
"シャープ","AC--8FE2"
"シャープ","AC--8FT"
"シャープ","AC--8FT2"
"シャープ","AC--8FV"
"シャープ","AC--8FV2"
"シャープ","AC--8HT"
"シャープ","AC--8HT2"
"シャープ","AC--8HV"
"シャープ","AC--8HV2"
"シャープ","AC--8TN"
"シャープ","AC--8TN2"
"シャープ","AC-4FD"
"シャープ","JH-D-6J2"
"三菱重工","SFM--9KR"
"三菱重工","SFM-9KR"
"三菱重工","SKM--BKZ"
"三菱重工","SKM--ME2"
"三菱重工","SKM--MH2"
"三菱重工","SKM--N2"
"三菱重工","SKM--SN2"
"三菱重工","SKP--BKZ"
"三菱重工","SKP--ME2"
"三菱重工","SKP--MH2"
"三菱重工","SRK--8C"
"三菱重工","SRK--9AV"
"三菱重工","SRK--9C"
"三菱重工","SRK--9KR"
"三菱重工","SRK--9KRL"
"三菱重工","SRK--9R"
"三菱重工","SRK--9RV"
"三菱重工","SRK--LC2"
"三菱重工","SRK--PC"
"三菱重工","SRK--PCV"
"三菱重工","SRK--PD"
"三菱重工","SRK--PE"
"三菱重工","SRK--RK"
"三菱重工","SRK--RK2"
"三菱重工","SRK--RL"
"三菱重工","SRK--RL2"
"三菱重工","SRK--RM"
"三菱重工","SRK--RM2"
"三菱重工","SRK--RM2A"
"三菱重工","SRK--RMA"
"三菱重工","SRK--RN"
"三菱重工","SRK--RN2"
"三菱重工","SRK--RP"
"三菱重工","SRK--RP2"
"三菱重工","SRK--RP2A"
"三菱重工","SRK--RPA"
"三菱重工","SRK--RR"
"三菱重工","SRK--RR2"
"三菱重工","SRK--RS"
"三菱重工","SRK--RS2"
"三菱重工","SRK--RSM"
"三菱重工","SRK--RSM2"
"三菱重工","SRK--RSN"
"三菱重工","SRK--RSN2"
"三菱重工","SRK--RT"
"三菱重工","SRK--RT2"
"三菱重工","SRK--RV"
"三菱重工","SRK--RV2"
"三菱重工","SRK--RW"
"三菱重工","SRK--RW2"
"三菱重工","SRK--RX"
"三菱重工","SRK--RX2"
"三菱重工","SRK--SC"
"三菱重工","SRK--SC2"
"三菱重工","SRK--SD"
"三菱重工","SRK--SD2"
"三菱重工","SRK--SE"
"三菱重工","SRK--SE2"
"三菱重工","SRK--SF"
"三菱重工","SRK--SF2"
"三菱重工","SRK--SG"
"三菱重工","SRK--SG2"
"三菱重工","SRK--SH"
"三菱重工","SRK--SH2"
"三菱重工","SRK--SI"
"三菱重工","SRK--SI2"
"三菱重工","SRK--SJ"
"三菱重工","SRK--SJ2"
"三菱重工","SRK--SK"
"三菱重工","SRK--SK2"
"三菱重工","SRK--SL"
"三菱重工","SRK--SL2"
"三菱重工","SRK--SLA2"
"三菱重工","SRK--SP"
"三菱重工","SRK--SP2"
"三菱重工","SRK--SR"
"三菱重工","SRK--SR2"
"三菱重工","SRK--SS"
"三菱重工","SRK--SS2"
"三菱重工","SRK--SSC"
"三菱重工","SRK--ST"
"三菱重工","SRK--ST2"
"三菱重工","SRK--SV"
"三菱重工","SRK--SV2"
"三菱重工","SRK--SW"
"三菱重工","SRK--SW2"
"三菱重工","SRK--SX"
"三菱重工","SRK--SX2"
"三菱重工","SRK--TC"
"三菱重工","SRK--TD"
"三菱重工","SRK--TD2"
"三菱重工","SRK--TE"
"三菱重工","SRK--TE2"
"三菱重工","SRK--TK"
"三菱重工","SRK--TK2"
"三菱重工","SRK--TK2J"
"三菱重工","SRK--TKJ"
"三菱重工","SRK--TL"
"三菱重工","SRK--TL2"
"三菱重工","SRK--TL2T"
"三菱重工","SRK--TLN"
"三菱重工","SRK--TLT"
"三菱重工","SRK--TM"
"三菱重工","SRK--TM2"
"三菱重工","SRK--TM2T"
"三菱重工","SRK--TMN"
"三菱重工","SRK--TMT"
"三菱重工","SRK--TN"
"三菱重工","SRK--TN2"
"三菱重工","SRK--TN2T"
"三菱重工","SRK--TNN"
"三菱重工","SRK--TNT"
"三菱重工","SRK--TP"
"三菱重工","SRK--TP2"
"三菱重工","SRK--TP2T"
"三菱重工","SRK--TPN"
"三菱重工","SRK--TPT"
"三菱重工","SRK--TR"
"三菱重工","SRK--TR2"
"三菱重工","SRK--TR2T"
"三菱重工","SRK--TRN"
"三菱重工","SRK--TRT"
"三菱重工","SRK--TS"
"三菱重工","SRK--TS2"
"三菱重工","SRK--TS2T"
"三菱重工","SRK--TSN"
"三菱重工","SRK--TST"
"三菱重工","SRK--TT"
"三菱重工","SRK--TT2"
"三菱重工","SRK--TV"
"三菱重工","SRK--TV2"
"三菱重工","SRK--TW"
"三菱重工","SRK--TW2"
"三菱重工","SRK--TX"
"三菱重工","SRK--TX2"
"三菱重工","SRK--ZC"
"三菱重工","SRK--ZC2"
"三菱重工","SRK--ZD"
"三菱重工","SRK--ZE"
"三菱重工","SRK--ZF"
"三菱重工","SRK--ZF2"
"三菱重工","SRK--ZG"
"三菱重工","SRK--ZG2"
"三菱重工","SRK--ZG2V"
"三菱重工","SRK--ZGV"
"三菱重工","SRK--ZH"
"三菱重工","SRK--ZH2"
"三菱重工","SRK--ZI"
"三菱重工","SRK--ZI2"
"三菱重工","SRK--ZJ"
"三菱重工","SRK--ZJ2"
"三菱重工","SRK-R-E8M"
"三菱重工","SRK-R-E8M2"
"三菱重工","SRK-S-E6W"
"三菱重工","SRK-S-E6W2"
"三菱重工","SRK-S-E7L"
"三菱重工","SRK-S-E7L2"
"三菱重工","SRK-S-E7X"
"三菱重工","SRK-S-E7X2"
"三菱重工","SRK-T-E1P"
"三菱重工","SRK-T-E1P2"
"三菱重工","SRK-T-E2R"
"三菱重工","SRK-T-E2R2"
"三菱重工","SRK-T-E3S"
"三菱重工","SRK-T-E3S2"
"三菱重工","SRK-T-E4T"
"三菱重工","SRK-T-E4T2"
"三菱重工","SRK-T-E5V"
"三菱重工","SRK-T-E5V2"
"三菱重工","SRK-T-E6W"
"三菱重工","SRK-T-E6W2"
"三菱重工","SRK-T-E7L"
"三菱重工","SRK-T-E7L2"
"三菱重工","SRK-T-E7X"
"三菱重工","SRK-T-E7X2"
"三菱重工","SRK-T-E8M"
"三菱重工","SRK-T-E8M2"
"三菱重工","SRK-T-E9N"
"三菱重工","SRK-T-E9N2"
"三菱重工","SRR--9KRZ"
"三菱重工","SRR-M-9KR"
"三菱重工","SRT--AKF"
"三菱重工","SRT--ME2"
"三菱重工","SRT--MH2"
"三菱重工","SRT--N2"
"三菱重工","SRT-W-9KRZ"
"三菱重工","SRT-W-ME2"
"三菱重工","SRT-W-MH2"
"三菱重工","SRT-W-N2"
"三菱重工","STM--BKZ"
"三菱重工","STM--ME2"
"三菱重工","STM--MH2"
"三菱重工","STM-W-9KR"
"三菱重工","STP--ME2"
"三菱重工","STP--MH2"
"三菱電機","MSZ-AP"
"三菱電機","MSZ-EF"
"三菱電機","MSZ-FX"
"三菱電機","MSZ-FY"
"三菱電機","MSZ-LN"
"三菱電機","MSZ-LX"
"三菱電機","MSZ-LY"
"三菱電機","PLZ-Z"
"三菱電機","PEAD-"
"三菱電機","PKZ-"
"三菱重工","SRK"
"三菱重工","SRC"
"三菱重工","SRT"
"三菱重工","SRK-Z"
"三菱重工","SRC-Z"
"三菱重工","SRK22"
"三菱重工","SRK25"
"三菱重工","SRK28"
"三菱重工","SRK35"
"三菱重工","SRK40"
"三菱重工","SRK50"
"三菱重工","SRK56"
"三菱重工","SRK63"
"三菱重工","SRK71"
"三菱重工","SRK80"
"三菱重工","SRK90"
"三菱重工","SRC22"
"三菱重工","SRC25"
"三菱重工","SRC28"
"三菱重工","SRC35"
"三菱重工","SRC40"
"三菱重工","SRC50"
"三菱重工","SRC56"
"三菱重工","SRC63"
"三菱重工","SRC71"
"三菱重工","SRC80"
"三菱重工","SRC90"
"ダイキン","AJT"
"ダイキン","ANC"
"ダイキン","ATA"
"ダイキン","ATC"
"ダイキン","ATD"
"ダイキン","ATE"
"ダイキン","ATN"
"ダイキン","ATP"
"ダイキン","ATR"
"ダイキン","ATS"
"ダイキン","ATUX"
"ダイキン","FAP"
"ダイキン","FARP"
"ダイキン","FAYJ"
"ダイキン","FAYP"
"ダイキン","FAYRP"
"ダイキン","FBP"
"ダイキン","FGEAP"
"ダイキン","FGEVP"
"ダイキン","FHBP"
"ダイキン","FHCP"
"ダイキン","FHCXP"
"ダイキン","FHGP"
"ダイキン","FHKP"
"ダイキン","FHMHP"
"ダイキン","FHMP"
"ダイキン","FHNP"
"ダイキン","FHP"
"ダイキン","FHTP"
"ダイキン","FHYBJ"
"ダイキン","FHYCP"
"ダイキン","FHYMP"
"ダイキン","FHYP"
"ダイキン","FNYAJ"
"ダイキン","FUP"
"ダイキン","FUYP"
"ダイキン","FVP"
"ダイキン","FVYCP"
"ダイキン","FXUP"
"ダイキン","FXYAJ"
"ダイキン","FXYAP"
"ダイキン","FXYCP"
"ダイキン","FXYDP"
"ダイキン","FXYEP"
"ダイキン","FXYFP"
"ダイキン","FXYHP"
"ダイキン","FXYKP"
"ダイキン","FXYMP"
"ダイキン","FXYSP"
"ダイキン","FXYTP"
"ダイキン","RTJ"
"ダイキン","RTYJ"
"ダイキン","RTZYJ"
"ダイキン","RZYP"
"ダイキン","SDH"
"ダイキン","SSD"
"ダイキン","SVYCP"
"ダイキン","SZVCP"
"ダイキン","SZVYCP"
"ダイキン","UAV"
"ダイキン","UAVP"
"パナソニック","CS-"
"パナソニック","CSX-"
"パナソニック","CSV-"
"日立","RAP-"
"日立","RAD-"
"富士通","AOU-"
"富士通","AOU-X"
"富士通","AOU-22"
"富士通","AOU-25"
"富士通","AOU-28"
"富士通","AOU-35"
"富士通","AOU-40"
"富士通","AOU-50"
"富士通","AOU-56"
"富士通","AOU-63"
"富士通","AOU-71"
"富士通","AOU-80"
"富士通","AOU-90"